code,date,tas,pre,etp,qmmobs,qhmobs
3001,198507,20.9702,24.8067,106.6446,29.59220633,11.8952
3001,198508,19.0769,6.7046,98.2935,26.125287,10.5016
3001,198509,17.0248,13.8882,67.4091,23.91243917,9.6121
3001,198510,10.9975,11.1189,37.923,7.493829706,3.0123
3001,198511,4.2854,71.4271,13.2112,7.508009844,3.018
3001,198512,3.9826,101.7204,11.0113,11.42123035,4.591
3001,198601,1.268,91.3757,10.9303,15.90165637,6.392
3001,198602,0.1464,137.6744,16.1543,138.0349351,55.486
3001,198603,4.5558,46.2706,34.8953,99.64930189,40.0561
3001,198604,3.5261,100.4534,38.6404,24.02986066,9.6593
3001,198605,13.1588,47.5702,76.3007,20.58284329,8.2737
3001,198606,15.8635,84.1863,95.3993,21.47345546,8.6317
3001,198607,18.9628,34.0548,104.4359,14.22292706,5.7172
3001,198608,18.5658,14.8704,94.1192,14.05973109,5.6516
3001,198609,15.9727,61.1624,52.8071,11.87922392,4.7751
3001,198610,11.9206,46.9076,30.8558,13.55646058,5.4493
3001,198611,5.5236,37.8347,17.1473,9.781807391,3.932
3001,198612,2.1762,37.768,10.4358,10.43857167,4.196
3001,198701,0.0298,135.0858,11.0503,41.43088003,16.654
3001,198702,1.2878,79.7057,18.1609,67.43028721,27.105
3001,198703,5.8139,15.5312,39.1975,33.38327863,13.4191
3001,198704,8.8511,82.468,56.5838,66.2792083,26.6423
3001,198705,10.7816,66.85,73.3934,22.05807518,8.8667
3001,198706,15.598,40.4644,94.986,17.63984274,7.0907
3001,198707,18.1861,65.692,93.2245,18.36004448,7.3802
3001,198708,19.9975,11.0999,94.6346,14.63191209,5.8816
3001,198709,17.6551,14.9624,65.4554,11.43391784,4.5961
3001,198710,9.6055,152.2754,24.7936,20.70623536,8.3233
3001,198711,3.8337,51.6295,13.7334,15.21503917,6.116
3001,198712,4.0819,105.0158,10.9556,45.28937018,18.205
3001,198801,2.7146,149.1513,9.3504,69.58964856,27.973
3001,198802,1.8809,35.2183,20.1747,51.23507711,20.595
3001,198803,5.062,13.0955,40.0415,17.42191641,7.0031
3001,198804,6.5385,140.1206,47.1711,33.02554111,13.2753
3001,198805,9.7419,114.3379,57.9666,65.22540016,26.2187
3001,198806,12.3499,208.0116,68.863,55.70231809,22.3907
3001,198807,18.7196,16.6715,99.0042,42.52349697,17.0932
3001,198808,19.2208,20.4403,94.3381,17.21418983,6.9196
