date,tas,pre,etp,qmmobs
198507,22.5613,21.4198,115.249,13.1280774179448
198508,20.8466,7.9095,106.8536,9.50908561215411
198509,19.1902,12.254,77.859,9.50293086418508
198510,12.6963,8.824,43.4007,15.3376319388272
198511,5.6227,83.7713,16.2132,15.3400938380148
198512,3.9448,109.7109,11.645,24.8811841396079
198601,1.8405,92.9821,12.5071,32.3425851024651
198602,1.7117,183.5107,17.611,0
198603,5.9479,46.0077,38.5004,59.0652698344074
198604,4.9264,115.8892,44.2955,54.5015242153703
198605,14.9325,44.1364,87.8888,47.0727434167489
198606,18.1656,61.8386,106.9735,30.0505569587977
198607,21.2393,20.3313,113.3934,25.478194692604
198608,20.1994,15.2353,102.1215,20.2183470782694
198609,17.4632,64.6952,62.0919,21.2308031191752
198610,11.8558,51.2844,35.3037,21.8462779160783
198611,5.3712,39.1061,19.3278,17.8580012321457
198612,2.0982,56.8851,11.2891,18.5251759119888
198701,1.5491,142.9896,12.6376,36.7567703458547
198702,3.0399,103.1336,20.2349,52.1762604326701
198703,7.0215,24.3988,43.9522,33.2873389157115
198704,10.8344,107.7213,62.4539,64.2968056080844
198705,13.3006,63.22,81.3602,29.959466688856
198706,18.0613,36.6054,103.8353,25.4357269316177
198707,20.4325,83.2907,102.7641,24.5728312663594
198708,21.8804,10.8924,101.4173,22.376201716212
198709,19.0337,13.792,72.8552,15.1468347517872
198710,10.2577,177.8134,29.4122,15.6607562072014
198711,5.1963,48.3026,15.9611,17.0978898579703
198712,5.0429,127.8941,11.3018,69.9702522859379
198801,4.0675,163.1717,10.2968,108.809173869716
198802,3.6012,46.8332,22.648,61.203429278849
198803,6.3957,19.664,44.2607,31.6624854518871
198804,8.4141,132.3113,54.1542,40.8053635598839
198805,10.9816,117.6035,66.8404,60.4223917615789
198806,14.6411,203.9711,80.7686,74.9322100985713
198807,21.1104,18.3487,109.4977,42.6105511392009
198808,21.4663,18.6418,101.8821,24.1789273963414
198809,17.1135,14.64,70.5998,19.871219292816
198810,12.3098,68.4659,39.612,23.9942849572704
198811,7.1933,61.0653,19.9559,22.6771688918976
198812,3.1963,25.0876,13.3891,24.397420949242
198901,3.2209,23.1817,16.8062,21.4154455582461
198902,4.3129,130.8075,24.7527,34.6413834688985
198903,8.592,55.8016,47.9415,36.4151818335735
198904,7.1442,152.8516,49.2281,72.2161198198376
198905,14.0706,112.0729,82.2107,41.5562428121057
198906,18.0828,59.6375,99.8546,52.4673800116053
198907,22.7209,35.097,117.3845,24.4478898825881
198908,22.092,33.7791,105.276,19.7518171822168
198909,15.5583,45.6224,58.6579,20.7630422735287
198910,12.1871,28.171,39.6996,18.3940797802484
198911,8.3006,124.076,15.235,19.6059496553508
198912,6.8497,169.6498,9.9021,42.2184936935735
199001,3.3098,55.5786,13.1422,19.2766706390076
199002,8.2055,17.2283,29.6452,23.1172333716834
199003,7.0399,29.9131,39.8288,23.2889508400194
199004,7.6258,59.7361,50.221,23.3917351311022
199005,14.9049,20.7045,80.696,22.2026378234853
199006,18.638,33.2909,102.0262,19.5560961968016
199007,21.5859,16.7163,112.9439,18.720896897404
199008,21.1104,26.1679,98.36,18.1084994744853
199009,17.635,69.0713,62.8188,17.5391852873499
199010,10.7577,170.5932,28.7205,20.8707503629868
199011,5.6779,71.7371,17.0292,30.9990036208255
199012,1.5675,58.279,10.9038,33.0263776018246
199101,2.5215,49.7793,11.3357,29.038100917892
199102,2.3436,97.0539,19.4845,24.0004397052395
199103,6.5552,90.9789,35.4076,50.530480825751
199104,6.6718,100.5618,53.0179,46.3507914799815
199105,9.6472,44.9731,71.6065,31.3036636452926
199106,17.4356,31.2744,100.9477,25.1630715965896
199107,21.6534,29.9142,115.3823,23.8151817913716
199108,22.7147,15.1605,104.2336,22.7984174268875
199109,16.9417,103.4976,67.035,22.0783119145108
199110,8.4417,95.50,29.6891,28.1930540217439
199111,5.0644,60.3642,16.8421,27.0901231856934
199112,5.0368,33.5831,12.8003,27.5985053679354
199201,1.1319,23.5115,14.1357,20.4553048750771
199202,3.638,34.3888,27.3425,16.8547773131936
199203,7.2791,46.2025,41.8219,21.0215416882281
199204,9.9939,91.9533,63.2015,43.8279602874754
199205,14.589,130.4555,85.3259,26.901787897841
199206,13.6104,71.1138,81.5287,27.0907386604903
199207,21.9877,19.0288,110.2204,22.5319168398285
199208,21.9755,33.9116,98.7275,19.445310733359
199209,16.1288,29.5563,66.2031,16.0004982950919
199210,9.1718,156.5631,27.8172,20.7796600930451
199211,8.8497,20.5463,22.2534,23.0692263375249
199212,4.7485,82.8491,10.9457,33.3371923742607
199301,4.3558,16.6494,18.4779,24.8781067656234
199302,3.3098,22.338,23.2523,20.9723037044758
199303,5.9908,38.0424,39.0244,20.2429660701456
199304,7.4018,59.0604,51.1509,18.7996776714076
199305,10.454,101.71,61.4438,27.7763775842405
199306,15.4693,48.5263,85.6094,22.9042790919549
199307,21.2607,11.3146,105.1954,16.679982470873
199308,21.8006,7.5572,94.514,17.7312134239837
199309,14.4939,67.7622,49.7018,14.6784584313439
199310,8.135,162.7998,24.3098,25.2018465087945
199311,5.0706,52.2731,16.0795,31.9474502828533
199312,4.6135,32.7783,12.1911,21.3212779143199
199401,2.5368,90.6074,12.5238,44.231096279447
199402,3.9049,75.4345,21.3462,32.3376613040899
199403,9.184,14.7342,50.7273,31.4969227315202
199404,7.4233,44.0004,57.9794,27.0624268198328
199405,12.8282,64.4902,79.6491,27.0901231856934
199406,17.7914,17.0325,106.9606,21.2492673630822
199407,24.1258,8.0148,124.4412,19.5653283187551
199408,22.773,6.3069,108.9044,13.8611079010565
199409,14.4571,28.9779,60.6647,12.4104338047557
199410,10.865,124.894,33.45,13.7890973498188
199411,7.865,92.1519,21.2891,26.0419696065673
199412,3.7975,45.5025,12.3764,18.3700762631692
199501,3.0092,66.8341,13.6265,27.6514362004691
199502,5.819,65.2678,24.1183,35.1097597893418
199503,6.2853,26.4829,45.1682,20.8344373499695
199504,9.5613,27.2374,65.2798,16.4824150610671
199505,13.6779,58.7619,78.7312,15.2176143534311
199506,17.0767,70.4198,93.7148,14.2236225564325
199507,21.5644,6.1787,117.4214,14.8021688655214
199508,19.5736,34.4006,94.7737,13.5767585448872
199509,13.6963,20.0306,53.4922,11.5684642825921
199510,13.047,14.008,41.2374,9.757737430103
199511,8.0922,100.7338,19.1519,12.3427315770963
199512,5.0916,220.408,10.2116,63.7490330388405
199601,4.6115,161.1406,11.2017,137.858353333952
199602,2.7482,83.2891,20.4908,75.8861960337712
